類群名,taxon group,occurrence_count,number_of_species
鳥類,Birds,7603532,735
哺乳類,Mammals,101844,124
兩棲類,Amphibians,113234,46
爬蟲類,Reptiles,37614,142
魚類,Fishes,59306,3329
蜘蛛類,Spiders,11692,646
蝦蟹類,Crustaceans,7136,2004
蜻蛉類,Dragonflies,11053,157
蝶類,Butterflies,87399,429
蛾類,Moths,421683,4597
蝸牛與貝類,Snails & Shells,19075,3092
甲蟲類,Beetles,29361,7513
其他昆蟲,other insects,26532,10541
其他無脊椎,other invertebrates,11299,5839
原藻類,Chromista,1617,1697
真菌類,Fungi,5773,5188
石松類,Lycophytes,7429,65
蕨類,Ferns,94710,810
被子植物,Angiosperms,656348,6971
裸子植物,Gymnosperms,8439,153
